miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.0120222523529396,26,24,2,0.07692307692307693,0.013,0.013348164627363738,1.0813281586807921,1.1102881752519473
M1,0.014876279958839458,29,26,3,0.10344827586206896,0.0145,0.014460511679644048,0.9747060447987957,0.9720515962091476
M2,0.024561439132659214,46,40,6,0.13043478260869565,0.023,0.02224694104560623,0.9364272132334878,0.9057670002742059
M3,0.012374924126145293,39,35,4,0.10256410256410256,0.0195,0.01946607341490545,1.5757672371340932,1.5730256780951273
M4,0.013496180127115795,23,21,2,0.08695652173913043,0.0115,0.01167964404894327,0.8520929545757041,0.8654036874831836
M5,0.015610096844415468,28,26,2,0.07142857142857142,0.014,0.014460511679644048,0.8968554224574538,0.9263563079570076
M6,0.004907457103619387,8,7,1,0.125,0.004,0.00389321468298109,0.8150860854290276,0.7933262789214673
M7,0.01360427276710878,26,22,4,0.15384615384615385,0.013,0.012235817575083427,0.9555821338300612,0.899409897504122
M8,0.016739503269875534,29,26,3,0.10344827586206896,0.0145,0.014460511679644048,0.8662144728090139,0.8638554828366523
M9,0.021073826165471845,40,36,4,0.1,0.02,0.020022246941045607,0.9490445561693376,0.9501002230838752
M10,0.002501386135467701,8,8,0,0.0,0.004,0.004449388209121246,1.5991133648992155,1.7787690377076923
M11,0.008063066765888612,20,17,3,0.15,0.01,0.009454949944382647,1.2402228941357307,1.1726245383930713
M12,0.0024096227918486268,7,7,0,0.0,0.0035,0.00389321468298109,1.4525095014206983,1.6156946623144586
M13,0.021516779069302525,46,39,7,0.15217391304347827,0.023,0.021690767519466074,1.0689332230405038,1.0080861754263106
M14,0.01842853498499095,47,42,5,0.10638297872340426,0.0235,0.02335928809788654,1.2751963202251013,1.2675607755533158
M15,0.00111299453867416,2,1,1,0.5,0.001,0.0005561735261401557,0.8984770052791425,0.499709124181948
