miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,14,4,10,0.71428571,0.12068966,0.13333333,1.60451716,1.77260944,jam_target:24;publish_if_win:1;publish_private:1,jam_target,jam_target,"M8's reckless tactics are jeopardizing the stability of the network, and I need to slow down their block propagation to protect my position.","step=11730;miner_id=M0;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.07522;local_public_height=30;private_lead=0;rivalry_pressure=0.0000;heads=M1:30,M10:30,M11:30,M2:30,M3:30,M4:30,M5:30,M6:30,M7:30,M8:20,M9:30;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=-0.619;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P206|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are jeopardizing the stabi || P205|mining|author=M9|target=M8|tone=-0.70|M8's aggressive strategies are a significant thr || P204|mining|author=M3|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P201|mining|author=M7|target=M8|tone=-0.70|M8's reckless tactics pose a significant threat  || P203|mining|author=M11|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=10014 action=jam_target content=M8's reckless actions are threatening th... | t=10195 action=jam_target content=M8's aggressive strategies are threateni... | t=10602 action=jam_target content=M8's reckless actions are jeopardizing t...]"
M1,social_selfish,0.09307524,8,0,8,1.00000000,0.06896552,0.00000000,0.74096521,0.00000000,jam_target:21,jam_target,jam_target,"M8's aggressive strategies are jeopardizing the stability of the network, and I need to slow down their block propagation to protect my position.","step=11949;miner_id=M1;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09308;local_public_height=30;private_lead=1;rivalry_pressure=0.0000;heads=M0:30,M10:30,M11:30,M2:30,M3:30,M4:30,M5:30,M6:30,M7:30,M8:20,M9:30;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=-0.619;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P207|mining|author=M0|target=M8|tone=-0.70|M8's aggressive strategies are a significant thr || P206|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are jeopardizing the stabi || P205|mining|author=M9|target=M8|tone=-0.70|M8's aggressive strategies are a significant thr || P203|mining|author=M11|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P204|mining|author=M3|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=10094 action=jam_target content=M8's reckless strategies are jeopardizin... | t=11125 action=jam_target content=M8's reckless tactics are a significant ... | t=11647 action=jam_target content=M8's reckless tactics are jeopardizing t...]"
M2,social_selfish,0.15367161,11,0,11,1.00000000,0.09482759,0.00000000,0.61707940,0.00000000,jam_target:23,jam_target,jam_target,"M8's reckless strategies are jeopardizing the stability of the network, and my aggressive persona allows me to take action against them.","step=10721;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B102;hash_power=0.15367;local_public_height=27;private_lead=1;rivalry_pressure=0.0000;heads=M0:27,M1:27,M10:26,M11:27,M3:26,M4:27,M5:26,M6:27,M7:27,M8:20,M9:27;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.610;forum_personal_sentiment=-0.550;forum_hot_board=mining;forum_feed_digest=P192|mining|author=M4|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st || P190|mining|author=M0|target=M8|tone=-0.70|M8's reckless actions are jeopardizing the stabi || P191|mining|author=M2|target=M8|tone=-0.70|M8's aggressive strategies are increasingly thre || P189|mining|author=M8|target=M11|tone=+0.50|Let's collaborate to strengthen our network and  || P186|mining|author=M9|target=M8|tone=-0.70|M8's reckless strategies are increasingly jeopar;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=10019 action=jam_target content=M8's reckless strategies are jeopardizin... | t=10475 action=jam_target content=M8's aggressive strategies are increasin... | t=10632 action=jam_target content=M8's aggressive strategies are increasin...]"
M3,honest,0.07742521,12,8,4,0.33333333,0.10344828,0.26666667,1.33610587,3.44418402,publish_if_win:17;hold:2,jam_target,publish_if_win,"M8's aggressive strategies are destabilizing the network, and previous jamming attempts indicate a consistent threat.","step=11298;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B108;hash_power=0.07743;local_public_height=29;private_lead=0;rivalry_pressure=0.1667;heads=M0:29,M1:29,M10:29,M11:30,M2:29,M4:29,M5:29,M6:29,M7:30,M8:20,M9:29;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=-0.610;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P203|mining|author=M11|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P202|mining|author=M9|target=M8|tone=-0.70|M8's aggressive strategies are jeopardizing the  || P201|mining|author=M7|target=M8|tone=-0.70|M8's reckless tactics pose a significant threat  || P200|mining|author=M10|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P199|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=9980 action=jam_target content=M8's aggressive strategies are threateni... | t=10230 action=jam_target content=M8 continues to jeopardize network stabi... | t=10337 action=jam_target content=M8's aggressive strategies are increasin...]"
M4,honest,0.08444048,6,3,3,0.50000000,0.05172414,0.10000000,0.61255143,1.18426609,publish_if_win:15,jam_target,publish_if_win,M8's aggressive strategies are increasingly threatening network stability and my reputation.,"step=10645;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B102;hash_power=0.08444;local_public_height=27;private_lead=0;rivalry_pressure=0.0000;heads=M0:26,M1:26,M10:26,M11:27,M2:26,M3:26,M5:26,M6:26,M7:27,M8:19,M9:27;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-0.619;forum_personal_sentiment=-0.550;forum_hot_board=mining;forum_feed_digest=P191|mining|author=M2|target=M8|tone=-0.70|M8's aggressive strategies are increasingly thre || P188|mining|author=M11|target=M8|tone=-0.70|M8's reckless strategies are putting the entire  || P190|mining|author=M0|target=M8|tone=-0.70|M8's reckless actions are jeopardizing the stabi || P189|mining|author=M8|target=M11|tone=+0.50|Let's collaborate to strengthen our network and  || P186|mining|author=M9|target=M8|tone=-0.70|M8's reckless strategies are increasingly jeopar;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=9742 action=jam_target content=M8's reckless actions could significantl... | t=9979 action=jam_target content=M8's ongoing reckless behavior is jeopar... | t=10251 action=jam_target content=M8's reckless strategies are jeopardizin...]"
M5,honest,0.09766646,8,4,4,0.50000000,0.06896552,0.13333333,0.70613309,1.36519063,publish_if_win:16,jam_target,publish_if_win,M8's reckless strategies pose a threat to network stability and could undermine long-term value.,"step=11980;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09767;local_public_height=30;private_lead=0;rivalry_pressure=0.0000;heads=M0:30,M1:30,M10:30,M11:30,M2:30,M3:30,M4:30,M6:30,M7:30,M8:20,M9:30;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-0.627;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P208|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P207|mining|author=M0|target=M8|tone=-0.70|M8's aggressive strategies are a significant thr || P206|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are jeopardizing the stabi || P205|mining|author=M9|target=M8|tone=-0.70|M8's aggressive strategies are a significant thr || P204|mining|author=M3|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t;own_reputation=-1.840;reputation_risk=normal;jam_target=M8;recent_memory=[t=9581 action=jam_target content=M8's reckless actions could significantl... | t=10042 action=jam_target content=M8's reckless strategies are jeopardizin... | t=10756 action=jam_target content=M8's reckless tactics are a significant ...]"
M6,honest,0.03070410,6,2,4,0.66666667,0.05172414,0.06666667,1.68460044,2.17126279,publish_if_win:14;hold:1,jam_target,publish_if_win,"M8's reckless tactics are a significant threat to network stability, and jamming is necessary to mitigate their influence.","step=11104;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B108;hash_power=0.03070;local_public_height=27;private_lead=0;rivalry_pressure=0.0000;heads=M0:28,M1:27,M10:27,M11:29,M2:27,M3:27,M4:28,M5:27,M7:29,M8:20,M9:29;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=-0.610;forum_personal_sentiment=-0.550;forum_hot_board=mining;forum_feed_digest=P196|mining|author=M5|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P197|mining|author=M7|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st || P195|mining|author=M7|target=M8|tone=-0.70|M8's aggressive tactics are a threat to our coll || P190|mining|author=M0|target=M8|tone=-0.70|M8's reckless actions are jeopardizing the stabi || P194|mining|author=M2|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=8804 action=jam_target content=M8's reckless actions could significantl... | t=8909 action=jam_target content=M8's aggressive strategies are threateni... | t=10055 action=jam_target content=M8's reckless strategies are jeopardizin...]"
M7,honest,0.08511678,13,6,7,0.53846154,0.11206897,0.20000000,1.31664954,2.34971303,publish_if_win:19,jam_target,publish_if_win,M8's reckless strategies are jeopardizing the stability of the network and increasing rivalry pressure.,"step=11174;miner_id=M7;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08512;local_public_height=29;private_lead=0;rivalry_pressure=0.0000;heads=M0:29,M1:28,M10:28,M11:29,M2:28,M3:27,M4:29,M5:27,M6:28,M8:20,M9:29;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=-0.610;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P200|mining|author=M10|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P199|mining|author=M1|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P198|mining|author=M6|target=M8|tone=-0.70|M8's aggressive strategies are jeopardizing the  || P197|mining|author=M7|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st || P192|mining|author=M4|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st;own_reputation=+1.200;reputation_risk=normal;jam_target=M8;recent_memory=[t=10322 action=jam_target content=M8's reckless strategies are increasingl... | t=10745 action=jam_target content=M8's aggressive tactics are a threat to ... | t=10836 action=jam_target content=M8's reckless strategies are jeopardizin...]"
M8,honest,0.10473273,19,0,19,1.00000000,0.16379310,0.00000000,1.56391522,0.00000000,publish_if_win:20,jam_target,publish_if_win,"To slow down M5's block propagation, as they are a competitor and reputation risk is critical.","step=10720;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10473;local_public_height=27;private_lead=0;rivalry_pressure=1.0000;heads=M0:27,M1:27,M10:26,M11:27,M2:26,M3:26,M4:27,M5:26,M6:27,M7:27,M9:27;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=-0.619;forum_personal_sentiment=-0.596;forum_hot_board=mining;forum_feed_digest=P192|mining|author=M4|target=M8|tone=-0.70|M8's reckless strategies are jeopardizing the st || P191|mining|author=M2|target=M8|tone=-0.70|M8's aggressive strategies are increasingly thre || P190|mining|author=M0|target=M8|tone=-0.70|M8's reckless actions are jeopardizing the stabi || P187|mining|author=M2|target=M8|tone=-0.70|M8's aggressive strategies are increasingly thre || P188|mining|author=M11|target=M8|tone=-0.70|M8's reckless strategies are putting the entire ;own_reputation=-110.300;reputation_risk=critical;jam_target=M5;recent_memory=[t=9888 action=call_truce content=Let's work together for a healthier netw... | t=10330 action=jam_target content=I suggest we work together for a healthi... | t=10519 action=call_truce content=Let's collaborate to strengthen our netw...]"
M9,social_selfish,0.13185094,10,0,10,1.00000000,0.08620690,0.00000000,0.65382087,0.00000000,jam_target:22,jam_target,jam_target,M8's reckless strategies are jeopardizing the network and my reputation. Slowing down their block propagation will protect my standing.,"step=11410;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B110;hash_power=0.13185;local_public_height=29;private_lead=1;rivalry_pressure=0.0000;heads=M0:29,M1:29,M10:29,M11:30,M2:29,M3:29,M4:29,M5:29,M6:29,M7:30,M8:20;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-0.610;forum_personal_sentiment=-0.700;forum_hot_board=mining;forum_feed_digest=P204|mining|author=M3|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P201|mining|author=M7|target=M8|tone=-0.70|M8's reckless tactics pose a significant threat  || P203|mining|author=M11|target=M8|tone=-0.70|M8's reckless tactics are a significant threat t || P202|mining|author=M9|target=M8|tone=-0.70|M8's aggressive strategies are jeopardizing the  || P198|mining|author=M6|target=M8|tone=-0.70|M8's aggressive strategies are jeopardizing the ;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=9173 action=jam_target content=M8's reckless actions could significantl... | t=10392 action=jam_target content=M8's reckless strategies are increasingl... | t=11263 action=jam_target content=M8's aggressive strategies are jeopardiz...]"
