miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.05946146,3,0,3,1.00000000,0.02290076,0.00000000,0.38513624,0.00000000,jam_target:1;publish_private:1;hold:1,hold,hold,Maintaining current position to assess network dynamics and potential opportunities for future block mining.,"step=127722;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B45;hash_power=0.05946;local_public_height=32;private_lead=1;rivalry_pressure=0.0000;heads=M1:32,M10:31,M11:32,M12:32,M13:32,M14:32,M2:32,M3:31,M4:31,M5:32,M6:32,M7:32,M8:32,M9:31;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.031;forum_personal_sentiment=+0.031;forum_hot_board=governance;forum_feed_digest=P6|governance|author=M8|target=M13|tone=+0.12|We're all in this together! Let's keep building  || P5|governance|author=M0|target=M13|tone=+0.12|Let's put our differences aside and collaborate  || P4|governance|author=M1|target=M13|tone=-0.50|Attempting to steal the spotlight from weaker co || P3|governance|author=M1|target=M13|tone=+0.12|Let's collaborate for mutual benefit and strengt || P2|governance|author=M11|target=M13|tone=+0.12|Let's take a step back and discuss how we can al;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+55.000;tokenomics_fiat_balance=+909.140;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+964.140;tokenomics_is_powered_off=False;recent_memory=[t=7044 action=jam_target content=none | t=125799 action=publish_private content=Let's put our differences aside and coll...]"
M1,social_selfish,0.07357734,5,0,5,1.00000000,0.03816794,0.00000000,0.51874585,0.00000000,publish_private:2;jam_target:1,jam_target,jam_target,To slow down M13 and create an advantage while strengthening my lead.,"step=68490;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B24;hash_power=0.07358;local_public_height=15;private_lead=1;rivalry_pressure=0.0000;heads=M0:16,M10:16,M11:15,M12:15,M13:16,M14:15,M2:16,M3:16,M4:16,M5:16,M6:15,M7:15,M8:16,M9:15;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P3|governance|author=M1|target=M13|tone=+0.12|Let's collaborate for mutual benefit and strengt || P2|governance|author=M11|target=M13|tone=+0.12|Let's take a step back and discuss how we can al || P1|governance|author=M5|target=M13|tone=+0.12|Let’s de-escalate and discuss our strategies for || P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+57.890;tokenomics_fiat_balance=+944.960;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1002.860;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=publish_private content=none | t=62374 action=publish_private content=Let's collaborate for mutual benefit and...]"
M2,social_selfish,0.12147965,16,0,16,1.00000000,0.12213740,0.00000000,1.00541450,0.00000000,publish_private:1;publish_if_win:1;jam_target:1,jam_target,jam_target,To slow down M13's block propagation and protect my lead.,"step=19034;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B6;hash_power=0.12148;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:2,M10:2,M11:2,M12:2,M13:3,M14:2,M3:3,M4:3,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+986.270;tokenomics_token_balance=+2.000;tokenomics_estimated_net_worth=+1006.270;tokenomics_is_powered_off=False;recent_memory=[t=5313 action=publish_private content=none | t=7043 action=publish_if_win content=none]"
M3,honest,0.06120576,6,6,0,0.00000000,0.04580153,0.06185567,0.74832056,1.01061849,publish_if_win:2,jam_target,publish_if_win,To slow down M13's block propagation due to increasing rivalry pressure.,"step=19034;miner_id=M3;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06121;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M12:2,M13:2,M14:2,M2:2,M4:2,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+993.570;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+993.570;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=publish_if_win content=Continuing on the path towards stable ca...]"
M4,honest,0.06675143,7,7,0,0.00000000,0.05343511,0.07216495,0.80050887,1.08109960,publish_if_win:2,jam_target,publish_if_win,"Slowing down miner M13 can provide a strategic advantage without significant risk, given the low rivalry pressure.","step=21528;miner_id=M4;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06675;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:3,M11:3,M12:3,M13:3,M14:3,M2:3,M3:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+989.720;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+989.720;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=jam_target content=none]"
M5,honest,0.07720676,13,12,1,0.07692308,0.09923664,0.12371134,1.28533616,1.60233818,publish_if_win:2,jam_target,publish_if_win,To slow down M13's block propagation while maintaining a conservative strategy.,"step=32825;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.07721;local_public_height=7;private_lead=0;rivalry_pressure=0.0000;heads=M0:7,M1:7,M10:7,M11:7,M12:7,M13:7,M14:7,M2:7,M3:7,M4:7,M6:7,M7:7,M8:7,M9:7;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+40.000;tokenomics_fiat_balance=+973.360;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+973.360;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=jam_target content=none]"
M6,honest,0.02427204,7,7,0,0.00000000,0.05343511,0.07216495,2.20150918,2.97317219,hold:1;publish_if_win:1,publish_if_win,publish_if_win,"I have no private lead to withhold, and releasing blocks aligns with community values.","step=133261;miner_id=M6;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.02427;local_public_height=34;private_lead=0;rivalry_pressure=0.0000;heads=M0:34,M1:34,M10:34,M11:34,M12:34,M13:34,M14:34,M2:34,M3:34,M4:34,M5:34,M7:34,M8:34,M9:34;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.031;forum_personal_sentiment=+0.031;forum_hot_board=governance;forum_feed_digest=P6|governance|author=M8|target=M13|tone=+0.12|We're all in this together! Let's keep building  || P5|governance|author=M0|target=M13|tone=+0.12|Let's put our differences aside and collaborate  || P4|governance|author=M1|target=M13|tone=-0.50|Attempting to steal the spotlight from weaker co || P3|governance|author=M1|target=M13|tone=+0.12|Let's collaborate for mutual benefit and strengt || P2|governance|author=M11|target=M13|tone=+0.12|Let's take a step back and discuss how we can al;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+53.490;tokenomics_fiat_balance=+960.000;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+960.000;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=hold content=none]"
M7,honest,0.06728605,13,13,0,0.00000000,0.09923664,0.13402062,1.47484708,1.99180379,publish_if_win:2,publish_private,publish_if_win,"I have mined a block and can release it to ensure I capture the expected reward share, given my current situation.","step=15271;miner_id=M7;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06729;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M12:1,M13:1,M14:1,M2:1,M3:1,M4:1,M5:1,M6:1,M8:1,M9:1;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.370;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.370;tokenomics_is_powered_off=False;recent_memory=[t=7042 action=jam_target content=none]"
M8,honest,0.08279275,12,12,0,0.00000000,0.09160305,0.12371134,1.10641397,1.49422918,hold:2,hold,hold,"Current conditions favor continuing to mine without interference. The local public height is stable, and I should maintain my position while focusing on social collaboration.","step=127721;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08279;local_public_height=31;private_lead=0;rivalry_pressure=0.0000;heads=M0:31,M1:31,M10:31,M11:31,M12:31,M13:31,M14:32,M2:31,M3:31,M4:31,M5:31,M6:31,M7:31,M9:31;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.017;forum_personal_sentiment=+0.017;forum_hot_board=governance;forum_feed_digest=P5|governance|author=M0|target=M13|tone=+0.12|Let's put our differences aside and collaborate  || P4|governance|author=M1|target=M13|tone=-0.50|Attempting to steal the spotlight from weaker co || P3|governance|author=M1|target=M13|tone=+0.12|Let's collaborate for mutual benefit and strengt || P2|governance|author=M11|target=M13|tone=+0.12|Let's take a step back and discuss how we can al || P1|governance|author=M5|target=M13|tone=+0.12|Let’s de-escalate and discuss our strategies for;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+58.970;tokenomics_fiat_balance=+875.810;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+875.810;tokenomics_is_powered_off=False;recent_memory=[t=7043 action=hold content=none]"
M9,social_selfish,0.10423009,10,2,8,0.80000000,0.07633588,0.02061856,0.73237849,0.19781769,jam_target:5,jam_target,jam_target,To slow down M13's block propagation and maintain a competitive edge while I have a fragile private lead.,"step=32827;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B14;hash_power=0.10423;local_public_height=8;private_lead=2;rivalry_pressure=0.0000;heads=M0:8,M1:8,M10:8,M11:7,M12:8,M13:8,M14:7,M2:8,M3:8,M4:8,M5:8,M6:8,M7:8,M8:8;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P1|governance|author=M5|target=M13|tone=+0.12|Let’s de-escalate and discuss our strategies for || P0|governance|author=M7|target=M13|tone=+0.12|Let's address our competition calmly and focus o;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+27.270;tokenomics_fiat_balance=+959.980;tokenomics_token_balance=+3.000;tokenomics_estimated_net_worth=+1041.790;tokenomics_is_powered_off=False;recent_memory=[t=17297 action=jam_target content=I will focus on maintaining my position ... | t=19035 action=jam_target content=none | t=32506 action=jam_target content=N/A...]"
