miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.0416315693611487,6,6,0,0.0,0.0594059405940594,0.06976744186046512,1.4269445400609388,1.675830215652963
M1,0.05151471311370856,5,4,1,0.2,0.04950495049504951,0.046511627906976744,0.960986628922442,0.9028804606620152
M2,0.08505321855192231,5,5,0,0.0,0.04950495049504951,0.05813953488372093,0.5820467624611795,0.6835665466113852
M3,0.04285282798697866,4,3,1,0.25,0.039603960396039604,0.03488372093023256,0.9241854565134823,0.8140354457080963
M4,0.04673559850331988,4,3,1,0.25,0.039603960396039604,0.03488372093023256,0.8474045837505713,0.7464057816175089
M5,0.054055830008727816,6,6,0,0.0,0.0594059405940594,0.06976744186046512,1.0989737940286508,1.2906552697313225
M6,0.016993915515858982,2,2,0,0.0,0.019801980198019802,0.023255813953488372,1.165239416398198,1.3684788494909068
M7,0.047109909914126134,2,1,1,0.5,0.019801980198019802,0.011627906976744186,0.42033576871863393,0.24682507349175598
M8,0.0579668244345744,2,2,0,0.0,0.019801980198019802,0.023255813953488372,0.3416088493922893,0.40119178823978163
M9,0.07297604724609787,6,5,1,0.16666666666666666,0.0594059405940594,0.05813953488372093,0.8140471132085867,0.7966933956789464
M10,0.008661990061477665,0,0,0,0.0,0.0,0.0,0.0,0.0
M11,0.02792140053902519,5,4,1,0.2,0.04950495049504951,0.046511627906976744,1.7730110073045016,1.6658056905837642
M12,0.008344224979483332,1,1,0,0.0,0.009900990099009901,0.011627906976744186,1.1865679704651209,1.3935275001974092
M13,0.07450993823409066,8,5,3,0.375,0.07920792079207921,0.05813953488372093,1.0630517575149334,0.780292351082909
M14,0.06381573185530524,11,9,2,0.18181818181818182,0.10891089108910891,0.10465116279069768,1.7066464322003185,1.639895990348932
M15,0.0038541620966776077,0,0,0,0.0,0.0,0.0,0.0,0.0
M16,0.09038926097963168,12,10,2,0.16666666666666666,0.1188118811881188,0.11627906976744186,1.3144468701308651,1.286425715922649
M17,0.08878469455575252,7,7,0,0.0,0.06930693069306931,0.08139534883720931,0.7806179999813807,0.9167723023037145
M18,0.0601791595142049,9,9,0,0.0,0.0891089108910891,0.10465116279069768,1.4807270757920028,1.7389934262208409
M19,0.056648982547887944,6,4,2,0.3333333333333333,0.0594059405940594,0.046511627906976744,1.0486673885773832,0.8210496608241528
