miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,top_actions,last_action,last_reason,last_prompt
M0,honest,0.05913593,1,0,1,1.00000000,jam_target:120,jam_target,To disrupt rival miner M2 and maintain stability in the network.,"step=120;miner_id=M0;is_selfish=false;hash_power=0.05914;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M0_steady_fundamentalist;risk=0.55;aggression=0.41;patience=0.80;sociability=0.70;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M1,honest,0.07317453,2,1,1,0.50000000,jam_target:109;hold:11,jam_target,To disrupt rival miner's progress and maintain stability in the network.,"step=120;miner_id=M1;is_selfish=false;hash_power=0.07317;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M1_steady_fundamentalist;risk=0.32;aggression=0.18;patience=0.76;sociability=0.47;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M2,honest,0.12081459,7,3,4,0.57142857,jam_target:119;hold:1,jam_target,To disrupt rival miner's progress and maintain stability in my own mining efforts.,"step=120;miner_id=M2;is_selfish=false;hash_power=0.12081;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M13;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M2_steady_fundamentalist;risk=0.33;aggression=0.24;patience=0.61;sociability=0.64;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M3,honest,0.06087068,4,2,2,0.50000000,jam_target:113;hold:7,jam_target,To disrupt rival miner M2's progress and maintain stability in the network.,"step=120;miner_id=M3;is_selfish=false;hash_power=0.06087;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M3_steady_fundamentalist;risk=0.40;aggression=0.38;patience=0.76;sociability=0.71;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M4,honest,0.06638599,5,2,3,0.60000000,jam_target:120,jam_target,To disrupt rival miner M2 and maintain stability in the network.,"step=120;miner_id=M4;is_selfish=false;hash_power=0.06639;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M4_steady_fundamentalist;risk=0.41;aggression=0.34;patience=0.74;sociability=0.56;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M5,honest,0.07678408,2,1,1,0.50000000,jam_target:102;hold:18,jam_target,To disrupt M2's mining efforts and maintain stability in the network.,"step=120;miner_id=M5;is_selfish=false;hash_power=0.07678;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M6:25,M7:25,M8:26,M9:25;persona=M5_steady_fundamentalist;risk=0.55;aggression=0.42;patience=0.85;sociability=0.73;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M6,honest,0.02413916,1,0,1,1.00000000,jam_target:88;hold:32,hold,Current conditions indicate stability with no immediate threat or opportunity for aggressive action.,"step=120;miner_id=M6;is_selfish=false;hash_power=0.02414;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M7:25,M8:26,M9:25;persona=M6_steady_fundamentalist;risk=0.37;aggression=0.24;patience=0.69;sociability=0.48;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M7,honest,0.06691769,6,2,4,0.66666667,jam_target:107;hold:13,jam_target,To disrupt rival miner's progress and maintain stability in the network.,"step=120;miner_id=M7;is_selfish=false;hash_power=0.06692;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M8:26,M9:25;persona=M7_steady_fundamentalist;risk=0.49;aggression=0.28;patience=0.85;sociability=0.60;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M8,honest,0.08233948,7,3,4,0.57142857,jam_target:82;hold:38,jam_target,To disrupt rival miner's progress and maintain my own position.,"step=120;miner_id=M8;is_selfish=false;hash_power=0.08234;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M9:25;persona=M8_steady_fundamentalist;risk=0.54;aggression=0.38;patience=0.60;sociability=0.53;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M9,honest,0.10365947,3,0,3,1.00000000,jam_target:83;hold:37,jam_target,To disrupt rival miner M2's progress and maintain competitive advantage.,"step=120;miner_id=M9;is_selfish=false;hash_power=0.10366;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26;persona=M9_steady_fundamentalist;risk=0.53;aggression=0.29;patience=0.89;sociability=0.61;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M10,honest,0.01230400,1,0,1,1.00000000,jam_target:107;hold:13,jam_target,To disrupt rival miner M2's progress and maintain my position in the network.,"step=120;miner_id=M10;is_selfish=false;hash_power=0.01230;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M11:26,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M10_steady_fundamentalist;risk=0.30;aggression=0.33;patience=0.83;sociability=0.56;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M11,honest,0.03966120,2,1,1,0.50000000,jam_target:74;hold:46,jam_target,To disrupt the rival miner's progress and maintain stability in the network.,"step=120;miner_id=M11;is_selfish=false;hash_power=0.03966;local_public_height=25;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:25,M1:25,M10:25,M12:25,M13:25,M14:25,M15:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M11_steady_fundamentalist;risk=0.30;aggression=0.26;patience=0.89;sociability=0.75;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
