miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_action,last_reason,last_prompt
M0,honest,0.05913593,1,1,0,0.00000000,0.04347826,0.04761905,0.73522581,0.80524732,publish_if_win:18;hold:3,publish_if_win,To disrupt rival miner M2's progress and maintain my position in the network.,"step=22892;miner_id=M0;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.05914;local_public_height=21;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M1:21,M10:21,M11:21,M12:21,M13:21,M14:21,M15:21,M2:21,M3:21,M4:21,M5:21,M6:21,M7:20,M8:20,M9:21;persona=M0_steady_fundamentalist;risk=0.55;aggression=0.41;patience=0.80;sociability=0.70;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M1,honest,0.07317453,3,3,0,0.00000000,0.13043478,0.14285714,1.78251625,1.95227970,publish_if_win:15;hold:6,publish_if_win,To disrupt rival miner's progress and maintain competitive advantage.,"step=22885;miner_id=M1;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.07317;local_public_height=21;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M10:21,M11:20,M12:20,M13:21,M14:21,M15:20,M2:21,M3:21,M4:20,M5:21,M6:21,M7:20,M8:20,M9:21;persona=M1_steady_fundamentalist;risk=0.32;aggression=0.18;patience=0.76;sociability=0.47;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M2,honest,0.12081459,1,1,0,0.00000000,0.04347826,0.04761905,0.35987591,0.39414981,publish_if_win:20;hold:1,publish_if_win,To disrupt the rival miner's progress and maintain my position in the network.,"step=22861;miner_id=M2;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.12081;local_public_height=20;private_lead=0;rivalry_pressure=0.0000;jam_target=M13;heads=M0:20,M1:20,M10:20,M11:20,M12:20,M13:20,M14:20,M15:20,M3:20,M4:20,M5:20,M6:20,M7:20,M8:20,M9:21;persona=M2_steady_fundamentalist;risk=0.33;aggression=0.24;patience=0.61;sociability=0.64;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M3,honest,0.06087068,1,0,1,1.00000000,0.04347826,0.00000000,0.71427268,0.00000000,publish_if_win:20;hold:1,publish_if_win,To disrupt rival miner's progress and maintain competitive advantage.,"step=22881;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.06087;local_public_height=20;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M1:20,M10:21,M11:20,M12:20,M13:21,M14:21,M15:20,M2:21,M4:20,M5:21,M6:21,M7:20,M8:20,M9:21;persona=M3_steady_fundamentalist;risk=0.40;aggression=0.38;patience=0.76;sociability=0.71;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M4,honest,0.06638599,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:12;hold:9,publish_if_win,To disrupt rival miner M2's progress and maintain competitive advantage.,"step=22888;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.06639;local_public_height=21;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M1:21,M10:21,M11:20,M12:21,M13:21,M14:21,M15:20,M2:21,M3:21,M5:21,M6:21,M7:20,M8:20,M9:21;persona=M4_steady_fundamentalist;risk=0.41;aggression=0.34;patience=0.74;sociability=0.56;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M5,honest,0.07678408,2,2,0,0.00000000,0.08695652,0.09523810,1.13248116,1.24033651,publish_if_win:13;hold:8,publish_if_win,To disrupt rival miner M2's progress and maintain competitive advantage.,"step=22878;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.07678;local_public_height=20;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M1:20,M10:21,M11:20,M12:20,M13:21,M14:21,M15:20,M2:21,M3:20,M4:20,M6:21,M7:20,M8:20,M9:21;persona=M5_steady_fundamentalist;risk=0.55;aggression=0.42;patience=0.85;sociability=0.73;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M6,honest,0.02413916,1,1,0,0.00000000,0.04347826,0.04761905,1.80115080,1.97268897,hold:12;publish_if_win:9,publish_if_win,To disrupt the rival miner's progress and maintain my position in the network.,"step=22877;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.02414;local_public_height=20;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M1:20,M10:21,M11:20,M12:20,M13:21,M14:21,M15:20,M2:21,M3:20,M4:20,M5:20,M7:20,M8:20,M9:21;persona=M6_steady_fundamentalist;risk=0.37;aggression=0.24;patience=0.69;sociability=0.48;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M7,honest,0.06691769,3,3,0,0.00000000,0.13043478,0.14285714,1.94918253,2.13481896,hold:11;publish_if_win:10,hold,"Current block height is stable, and there is no immediate advantage to taking aggressive action.","step=22901;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.06692;local_public_height=21;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:21,M1:21,M10:21,M11:21,M12:21,M13:21,M14:21,M15:21,M2:21,M3:21,M4:21,M5:21,M6:21,M8:21,M9:21;persona=M7_steady_fundamentalist;risk=0.49;aggression=0.28;patience=0.85;sociability=0.60;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M8,honest,0.08233948,1,1,0,0.00000000,0.04347826,0.04761905,0.52803659,0.57832579,hold:13;publish_if_win:8,hold,Current conditions do not favor aggressive actions; maintaining stability is preferred.,"step=22893;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.08234;local_public_height=21;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:21,M1:21,M10:21,M11:21,M12:21,M13:21,M14:21,M15:21,M2:21,M3:21,M4:21,M5:21,M6:21,M7:20,M9:21;persona=M8_steady_fundamentalist;risk=0.54;aggression=0.38;patience=0.60;sociability=0.53;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M9,honest,0.10365947,6,5,1,0.16666667,0.26086957,0.23809524,2.51660146,2.29689815,hold:15;publish_if_win:6,publish_if_win,To disrupt M2's mining efforts and maintain my position in the network.,"step=22830;miner_id=M9;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10366;local_public_height=20;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:20,M1:20,M10:20,M11:20,M12:20,M13:20,M14:20,M15:20,M2:20,M3:20,M4:20,M5:20,M6:20,M7:20,M8:20;persona=M9_steady_fundamentalist;risk=0.53;aggression=0.29;patience=0.89;sociability=0.61;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
