miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.0416315693611487,5,5,0,0.0,0.04950495049504951,0.052083333333333336,1.1891204500507824,1.2510538068242607
M1,0.05151471311370856,8,7,1,0.125,0.07920792079207921,0.07291666666666667,1.5375786062759071,1.4154532221836802
M2,0.08505321855192231,5,5,0,0.0,0.04950495049504951,0.052083333333333336,0.5820467624611795,0.6123616980060326
M3,0.04285282798697866,5,5,0,0.0,0.04950495049504951,0.052083333333333336,1.1552318206418528,1.215400144633616
M4,0.04673559850331988,5,5,0,0.0,0.04950495049504951,0.052083333333333336,1.0592557296882141,1.1144252989428085
M5,0.054055830008727816,5,5,0,0.0,0.04950495049504951,0.052083333333333336,0.9158114950238757,0.9635100103897026
M6,0.016993915515858982,3,3,0,0.0,0.0297029702970297,0.03125,1.747859124597297,1.838893454003406
M7,0.047109909914126134,1,1,0,0.0,0.009900990099009901,0.010416666666666666,0.21016788435931696,0.2211141283363647
M8,0.0579668244345744,7,7,0,0.0,0.06930693069306931,0.07291666666666667,1.1956309728730128,1.2579034193768155
M9,0.07297604724609787,9,9,0,0.0,0.0891089108910891,0.09375,1.2210706698128801,1.284668100532301
M10,0.008661990061477665,1,1,0,0.0,0.009900990099009901,0.010416666666666666,1.1430387276755745,1.2025719947420106
M11,0.02792140053902519,5,4,1,0.2,0.04950495049504951,0.041666666666666664,1.7730110073045016,1.4922842644812886
M12,0.008344224979483332,0,0,0,0.0,0.0,0.0,0.0,0.0
M13,0.07450993823409066,7,6,1,0.14285714285714285,0.06930693069306931,0.0625,0.9301702878255668,0.8388142774141271
M14,0.06381573185530524,7,6,1,0.14285714285714285,0.06930693069306931,0.0625,1.086047729582021,0.9793823275695009
M15,0.0038541620966776077,0,0,0,0.0,0.0,0.0,0.0,0.0
M16,0.09038926097963168,7,6,1,0.14285714285714285,0.06930693069306931,0.0625,0.7667606742430048,0.6914538223084239
M17,0.08878469455575252,9,9,0,0.0,0.0891089108910891,0.09375,1.003651714261775,1.0559252410462425
M18,0.0601791595142049,5,5,0,0.0,0.04950495049504951,0.052083333333333336,0.8226261532177794,0.8654712653645388
M19,0.056648982547887944,7,7,0,0.0,0.06930693069306931,0.07291666666666667,1.2234452866736139,1.2871663953545311
